,name,longitude,latitude,temp_min,temp_max,humidity,wind,cloudiness,sunrise,sunset
151,Vanimo,141.3028,-2.6741,77.65,77.65,91,4.16,100,1634760834,1634804681
152,Privolzhye,48.6044,52.8649,34.77,34.77,67,7.31,82,1634786531,1634823475
153,Gravdal,13.5031,68.1214,33.26,33.26,97,14.97,100,1634797989,1634828864
154,Narnaul,76.1083,28.0444,72.37,72.37,20,5.97,0,1634777957,1634818849
155,Wahiawā,-158.0236,21.5028,77.32,84.52,41,9.22,1,1634747391,1634789005
156,Vila Velha,-40.2925,-20.3297,66.15,66.15,82,9.22,75,1634717189,1634762703
157,Port Macquarie,152.9167,-31.4333,70.9,71.56,65,3.76,81,1634756553,1634803389
158,Moussoro,16.4901,13.6408,84.94,84.94,50,11.43,99,1634791535,1634833885
159,Soyo,12.3689,-6.1349,76.06,76.06,82,5.84,53,1634791614,1634835783
160,Mount Gambier,140.7667,-37.8333,68.38,68.38,57,7.65,42,1634759016,1634806757
161,Puerto Ayacucho,-67.6236,5.6639,75.07,75.07,90,6.53,84,1634724953,1634768056
162,Kosa,54.9977,59.9445,27.63,27.63,93,2.62,37,1634786022,1634820916
163,Codrington,141.9667,-38.2667,69.42,69.42,58,17.09,63,1634758695,1634806502
164,Morón,-58.6198,-34.6534,63.84,68.02,77,5.01,13,1634720734,1634767953
165,Dikson,80.5464,73.5069,27.88,27.88,57,10.71,88,1634784337,1634810339
166,Junín,-60.9433,-34.5838,67.98,67.98,44,9.35,19,1634721296,1634768506
167,Gualaquiza,-78.55,-3.4,64.62,64.62,94,1.63,69,1634727172,1634771081
168,Bengkulu,102.2655,-3.8004,76.23,76.23,87,2.71,86,1634770151,1634814101
169,Massaguet,15.4365,12.4755,78.84,78.84,57,11.99,100,1634791733,1634834193
170,Murgab,61.9714,37.4966,58.87,58.87,44,16.11,90,1634781939,1634821652
171,Mendoza,-68.8272,-32.8908,74.73,74.73,41,3.44,0,1634723301,1634770285
172,Batagay-Alyta,130.4114,67.8006,9.46,9.46,87,4.65,100,1634769750,1634800993
173,Burnie,145.9167,-41.0667,57.94,57.94,86,11.99,95,1634757521,1634805781
174,Norman Wells,-126.8329,65.282,35.64,35.64,69,4.61,40,1634744306,1634777120
175,Asău,26.4,46.4333,43.29,43.72,72,7.56,13,1634791192,1634829471
176,Monterey,-121.2516,36.2505,52.09,66.72,45,3.83,100,1634739400,1634779347
177,Zhangjiakou,114.8794,40.81,37.65,37.65,37,5.03,0,1634769471,1634808727
178,Takoradze,-1.7554,4.8845,77.09,77.09,90,8.95,92,1634795508,1634838668
179,Acaraú,-40.12,-2.8856,79.65,79.65,82,9.37,100,1634717974,1634761835
180,Puerto El Triunfo,-88.55,13.2833,78.96,78.96,85,3.11,79,1634730319,1634772733
181,Pa Sang,98.9394,18.5262,76.42,77.2,95,0.65,91,1634771978,1634813870
182,Tacuarembó,-55.9833,-31.7333,60.3,60.3,80,6.51,95,1634720297,1634767125
183,Kemijärvi,27.4306,66.7131,28.4,28.4,96,10.27,100,1634794193,1634825976
184,Bonavista,-53.1147,48.6499,42.8,49.12,94,18.7,100,1634724016,1634762029
185,Ribeira Grande,-28.7,38.5167,70.0,70.0,65,4.79,73,1634803787,1634843322
186,Valdivia,-73.2459,-39.8142,51.06,51.06,92,2.95,100,1634723857,1634771850
187,Lohja,24.0653,60.2486,51.37,53.38,100,12.95,100,1634793513,1634828271
188,Margate,1.3862,51.3813,48.85,51.69,92,1.99,95,1634797705,1634834964
189,Waipawa,175.5153,-41.4122,55.92,58.03,70,7.74,100,1634750395,1634798701
190,Poso,120.7524,-1.3959,83.57,83.57,66,1.41,78,1634765824,1634809555
191,Sola,167.55,-13.8833,81.16,81.16,81,14.72,99,1634754014,1634798905
192,Puerto Peñasco,-113.5333,31.3167,76.91,76.91,56,5.99,21,1634737240,1634777803
193,Ostrovnoy,39.5131,68.0531,31.73,31.73,72,16.64,100,1634791707,1634822663
194,Chikwawa,34.8009,-16.0335,70.36,70.36,81,6.15,46,1634785755,1634830876
195,Tura,90.2201,25.5198,70.84,70.84,99,3.4,99,1634774430,1634815603
196,Nemuro,145.575,43.3236,48.63,48.63,67,16.22,100,1634762295,1634801170
197,Beloha,45.05,-25.1667,68.76,68.76,90,4.9,100,1634782806,1634828906
198,Nome,-165.4064,64.5011,34.11,35.67,93,10.36,90,1634753391,1634786548
199,Bubaque,-15.8333,11.2833,82.18,82.18,78,10.96,97,1634799182,1634841751
200,Ilulissat,-51.1,69.2167,26.62,26.62,63,2.3,20,1634727279,1634757800
201,Singapore,103.8501,1.2897,77.14,80.55,86,5.75,75,1634770001,1634813490
202,Anchorage,-149.9003,61.2181,38.59,45.32,85,1.01,90,1634748963,1634783534
203,Mombetsu,143.3525,44.3525,50.02,50.02,100,17.27,75,1634762914,1634801618
204,Reconquista,-59.65,-29.15,66.09,66.09,46,9.26,1,1634721338,1634767844
205,Adré,22.2,13.4667,77.63,77.63,27,7.58,99,1634790156,1634832523
206,Sambava,50.1667,-14.2667,68.92,68.92,88,6.38,58,1634782157,1634827100
207,Thinadhoo,72.9333,0.5333,81.01,81.01,77,9.35,91,1634777386,1634820943
208,Praia,-23.5087,14.9215,82.94,82.94,47,21.85,0,1634714783,1634757053
209,Irtyshskiy,68.1333,58.3333,36.55,36.55,96,7.65,100,1634782593,1634818040
210,Lagoa,-27.9833,39.05,68.65,68.65,62,0.72,49,1634803653,1634843111
211,Aloleng,119.7824,16.1307,81.46,81.46,79,6.71,73,1634766859,1634808986
212,Saint George,-113.5841,37.1041,66.54,75.67,25,1.01,1,1634737615,1634777452
213,Bathsheba,-59.5167,13.2167,83.01,83.01,78,19.57,40,1634723348,1634765770
214,Provideniya,-173.3,64.3833,30.31,30.31,74,4.47,0,1634841849,1634874660
215,Eganville,-77.0994,45.5334,53.51,55.02,87,5.06,86,1634729493,1634768064
216,Saint Paul Harbor,-152.4072,57.79,44.11,44.11,81,12.66,90,1634748985,1634784716
217,Lock Haven,-77.4469,41.137,51.84,61.29,84,4.23,13,1634729222,1634768501
218,Andernach,7.4,50.4333,59.5,63.66,83,1.01,100,1634796155,1634833627
219,Cefalù,14.0229,38.0386,57.74,63.54,78,3.0,0,1634793492,1634833111
220,Cherskiy,161.3,68.75,-3.33,-3.33,100,5.37,100,1634762637,1634793281
221,Paamiut,-49.6678,61.994,35.94,35.94,50,2.68,0,1634725012,1634759379
222,Bluff,168.3333,-46.6,49.55,49.55,55,5.44,91,1634751631,1634800912
223,Payo,103.6372,-3.7508,74.34,74.34,96,1.07,85,1634769824,1634813770
224,Hong Kong,114.1577,22.2855,79.97,81.25,83,1.01,85,1634768513,1634810031
225,Coruripe,-36.1756,-10.1256,77.43,77.43,84,12.06,9,1634716699,1634761216
226,Pringsewu,104.9744,-5.3582,76.59,76.59,90,2.01,98,1634769429,1634813522
227,Chokurdakh,147.9167,70.6333,-14.89,-14.89,95,3.22,92,1634766596,1634795746
228,Partizánske,18.3846,48.6286,44.15,55.06,75,5.39,100,1634793328,1634831182
229,Magadan,150.8,59.5667,16.11,16.11,37,2.86,1,1634762924,1634798034
230,Laguna,-121.4238,38.421,61.92,70.65,43,3.44,40,1634739588,1634779241
231,Fairbanks,-147.7164,64.8378,32.49,41.0,58,0.0,75,1634749218,1634782231
232,Gornyy,83.9059,55.1153,35.8,36.86,64,9.64,62,1634778332,1634814731
233,Tuatapere,167.6833,-46.1333,54.05,54.05,52,3.44,78,1634751834,1634801021
234,Sitka,-135.33,57.0531,46.35,46.35,95,4.9,100,1634744770,1634780734
235,Rodeo,-122.2669,38.033,57.94,67.08,82,4.61,90,1634739764,1634779471
